Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
Killzone: Mercenary,9/10/2013,Guerilla Cambridge,SCEA,FPS,Rated M For Mature,8.8,641
Aspire: Ina's Tale,12/17/2021,Wondernaut Studio,Untold Tales,2D Platformer,Rated E +10 For Everyone +10,6.8,8
Big Sky: Infinity,12/11/2012,Boss Baddie,Ripstone,Vertical Shoot-'Em-Up,Rated E For Everyone,5.2,32
Shaq Fu: A Legend Reborn,6/5/2018,Big Deez Productions,Saber Interactive,2D Beat-'Em-Up,Rated T For Teen,5.4,31
Deadpool,6/25/2013,High Moon Studios,Activision,Linear Action Adventure,Rated M For Mature,7.4,404
Devil May Cry 2,1/25/2003,Capcom,Capcom,Linear Action Adventure,Rated M For Mature,6.1,474
Advance Wars 2: Black Hole Rising,6/24/2003,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated E For Everyone,8.2,86
Wailing Heights,4/27/2016,Outsider Games,Outsider Games,Point-and-Click,,7,9
World of Warcraft: Mists of Pandaria,9/25/2012,Blizzard Entertainment,Blizzard Entertainment,MMORPG,Rated T For Teen,5.8,1746
Guilty Gear X,9/30/2001,Arc System Works,Sammy Studios,2D Fighting,Rated T For Teen,7.7,17
Arc of Alchemist,1/30/2020,Compile Heart,Idea Factory,Action RPG,Rated E +10 For Everyone +10,3.5,13
Flockers,9/23/2014,Team17,Team17,Action Puzzle,Rated T For Teen,4.5,11
The Entropy Centre,11/3/2022,Stubby Games,Playstack,First-Person Adventure,,7.5,26
DodoGo! Robo,4/18/2011,Alien After All,Neko Entertainment,2D Platformer,Rated E For Everyone,,
Dark Cloud,5/28/2001,Level 5,SCEA,Action RPG,Rated T For Teen,8,117
Cave Story Plus,6/20/2017,Nicalis,Nicalis,Metroidvania,Rated E +10 For Everyone +10,7.9,187
Teenage Mutant Ninja Turtles: Mutants in Manhattan,5/24/2016,PlatinumGames,Activision,3D Beat-'Em-Up,Rated T For Teen,5.5,186
ESPN MLS ExtraTime,4/16/2001,Konami Computer Entertainment Hawaii,Konami,Soccer Sim,Rated E For Everyone,,
MechWarrior: Tactical Command,9/27/2012,Personae Studios,Personae Studios,Action,,,
Antichamber,1/31/2013,Demruth,Demruth,Puzzle,,8.3,629
Resident Evil HD Remaster,1/20/2015,Capcom,Capcom,Survival,Rated M For Mature,8.6,1138
"SpongeBob SquarePants: Lights, Camera, Pants!",10/21/2005,THQ Studio Australia,THQ,Party,Rated E For Everyone,7.8,30
Puzzle Craft,8/16/2012,Chillingo,Chillingo,Matching Puzzle,,6.7,18
Invizimals,10/12/2010,Novarama,SCEA,Card Battle,Rated E +10 For Everyone +10,7.8,26
Star X,4/17/2002,Graphic State,Bam Entertainment,Rail Shooter,Rated E For Everyone,,
Ar tonelico Qoga: Knell of Ar Ciel,3/15/2011,Gust,NIS America,JRPG,Rated M For Mature,7.8,76
Edge (2011),8/11/2011,Mobigame,Two Tribes,3D Platformer,,7.4,57
Marvel vs. Capcom Origins,9/26/2012,Iron Galaxy Studios,Capcom,Compilation,Rated T For Teen,8.3,11
Yono and the Celestial Elephants,10/12/2017,Neckbolt,Plug In Digital,Linear Action Adventure,Rated E For Everyone,7.1,23
Commandos 3: Destination Berlin,10/14/2003,Pyro Studios,Eidos Interactive,Real-Time Tactics,Rated T For Teen,7.7,92
Jump Force,2/12/2019,Spike Chunsoft,Bandai Namco Games,3D Fighting,Rated T For Teen,4.4,323
Let's Catch,6/15/2009,Prope,Sega,Action,Rated E For Everyone,,
Sherlock Holmes: The Silver Earring,9/28/2004,Frogwares,Ubisoft,Adventure,Rated T For Teen,6.4,32
Back to the Future: The Game,10/25/2011,Iron Galaxy Studios,Telltale Games,Third-Person Adventure,Rated T For Teen,4.3,10
The Walking Dead: Season Two - A Telltale Games Series,12/17/2013,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8.1,848
V-Rally 3,3/25/2003,Eden Studios,Atari SA,Auto Racing Sim,Rated E For Everyone,,
Trade Empires,9/17/2001,Frog City Software,Eidos Interactive,Strategy,Rated E For Everyone,6.6,9
Sid Meier's Civilization VI: Gathering Storm,2/14/2019,Firaxis Games,2K Games,4X Strategy,,6.8,89
The Wardrobe,2/15/2017,CINIC Games,Adventure Productions,Point-and-Click,,6.9,15
ArchLord,10/3/2006,NHN Corporation,Codemasters,MMORPG,Rated T For Teen,5,7
New Super Lucky's Tale,11/8/2019,Playful Corp.,Playful Corp.,3D Platformer,Rated E For Everyone,7.9,133
Street Fighter Alpha Anthology,6/13/2006,Capcom,Capcom,Compilation,Rated T For Teen,7.8,12
Battle Engine Aquila,1/20/2003,Lost Toys,Atari SA,FPS,Rated T For Teen,,
Major Magnet,2/21/2013,,,Action,,6.7,9
Wik & the Fable of Souls,12/14/2005,Reflexive Entertainment,Reflexive Entertainment,2D Platformer,Rated E For Everyone,7.9,8
Flashback 2,11/16/2023,Microids Studio Lyon,Microids,Action Adventure,Rated T For Teen,2.5,16
Wario: Master of Disguise,3/5/2007,Suzak,Nintendo,2D Platformer,Rated E +10 For Everyone +10,6.5,24
Luigi's Mansion: Dark Moon,3/24/2013,Next Level Games,Nintendo,Action Adventure,Rated E For Everyone,8.4,686
Final Fantasy IV: The Complete Collection,4/18/2011,Bullets,Square Enix,Compilation,Rated E +10 For Everyone +10,8.7,220
Hunter: The Reckoning Wayward,9/9/2003,High Voltage Software,VU Games,3D Beat-'Em-Up,Rated M For Mature,6.2,9
Dungeonland,1/29/2013,Critical Studio,Paradox Interactive,MOBA,Rated RP For Rate Pending,7.5,106
Chibi-Robo! Photo Finder,1/9/2014,Skip Ltd.,Nintendo,Action Adventure,Rated E For Everyone,7.6,33
Voltron,11/30/2011,Behaviour Interactive,THQ,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,7.2,6
Don't Starve,1/7/2014,Klei Entertainment,Klei Entertainment,Sandbox,Rated T For Teen,7.1,415
Deadly Creatures,2/9/2009,Rainbow Studios,THQ,Linear Action Adventure,Rated T For Teen,7.8,24
Tomb Raider III: Adventures of Lara Croft,11/21/1998,Core Design Ltd.,Eidos Interactive,Linear Action Adventure,Rated T For Teen,8.1,130
Greedy Dwarf,7/3/2013,Sleeper Cell,Crescent Moon Games,Arcade,,,
Onimusha Blade Warriors,3/24/2004,Capcom,Capcom,3D Fighting,Rated T For Teen,6,7
Counter-Strike: Global Offensive,8/21/2012,Hidden Path Entertainment,Valve Software,Tactical FPS,Rated M For Mature,7.3,5415
Untitled Goose Game,9/20/2019,22nd Century Toys,Panic Inc.,Action Adventure,Rated E For Everyone,7.7,244
Tomodachi Life,6/6/2014,Nintendo,Nintendo,Virtual Life,Rated E For Everyone,7.8,272
Sword Art Online: Hollow Realization,11/8/2016,Aquria,Bandai Namco Games,Action RPG,Rated T For Teen,7.4,102
Shinobi (1987),1/23/2020,M2,Sega,2D Platformer,Rated E +10 For Everyone +10,8.6,12
Aerial Strike: The Yager Missions,2/4/2005,Yager,DreamCatcher Interactive,Third Person Shooter,Rated T For Teen,,
Dance Dance Revolution Universe 2,12/4/2007,Konami,Konami,Dancing,Rated E +10 For Everyone +10,,
Chasing Aurora,11/18/2012,Broken Rules,Broken Rules,Aircraft Combat Sim,Rated E For Everyone,7.3,23
Blackthorne,9/17/2003,Mass Media,Blizzard Classic Arcade,2D Platformer,Rated T For Teen,7.8,13
The Da Vinci Code,5/15/2006,The Collective,2K Games,Linear Action Adventure,Rated T For Teen,7.9,13
Deep Black: Reloaded,3/1/2012,Biart,Biart,Third Person Shooter,,3.7,42
Prince of Persia: The Sands of Time,11/10/2003,Ubisoft,Ubisoft,Linear Action Adventure,Rated T For Teen,8.7,416
Sprinkle: Water splashing fire fighting fun!,8/25/2011,Mediocre AB,Mediocre AB,Action,,,
Black Bird,10/18/2018,Onion Games,Onion Games,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,8,5
Sundered,7/28/2017,Thunder Lotus Games,Thunder Lotus Games,Metroidvania,Rated T For Teen,7.4,76
Super Robot Wars 30,10/27/2021,B.B.Studio,Bandai Namco Games,Turn-Based Tactics,Rated T For Teen,7.5,14
The Last Rocket,8/11/2011,Shaun Inman,Shaun Inman,Action,,,
Lake,9/1/2021,Gamious,Whitethorn Digital,Adventure,,6.3,56
Life is Strange: True Colors,9/10/2021,Deck Nine Games,Square Enix,Action Adventure,Rated M For Mature,7,315
Dead or Alive Ultimate,10/26/2004,Team Ninja,Tecmo,Compilation,Rated M For Mature,9.5,20
God of War III Remastered,7/14/2015,Wholesale Algorithms,SCEA,Linear Action Adventure,Rated M For Mature,8.3,1639
GRIP: Combat Racing,11/6/2018,Caged Element Inc.,Wired Productions,Auto Racing,Rated E +10 For Everyone +10,5.3,23
Exile's End,10/25/2016,MagneticRealms,XSEED Games,2D Platformer,Rated T For Teen,6.6,5
Asphalt 9: Legends,7/26/2018,Gameloft,Gameloft,Auto Racing,,6.3,55
Mace Griffin Bounty Hunter,6/17/2003,Warthog,Black Label Games,FPS,Rated M For Mature,,
Gesundheit!,7/28/2011,"Konami Mobile & Online, Inc.","Konami Mobile & Online, Inc.",Adventure,,,
Tentacular,2/22/2023,Firepunchd,Devolver Digital,Action Puzzle,Rated E +10 For Everyone +10,6,5
FORGE (2012),12/4/2012,Dark Vale Games,Dark Vale Games,MMORPG,Rated T For Teen,7.5,180
Pinobee: Wings of Adventure,5/30/2001,Artoon,Activision,2D Platformer,Rated E For Everyone,,
Mega Man: Battle Chip Challenge,3/3/2004,Capcom,Capcom,Card Battle,Rated E For Everyone,5.7,20
NHL 2002,9/24/2001,EA Sports,Electronic Arts,Hockey Sim,Rated E For Everyone,7.8,16
Gunfire Reborn,10/27/2022,Duoyi Games,505 Games,FPS,Rated T For Teen,7,22
Garage,5/10/2018,tinyBuild,tinyBuild,Survival,Rated M For Mature,6.3,14
The Movies,11/8/2005,Lionhead Studios,Activision,Tycoon,Rated T For Teen,8.2,152
Open Me!,8/13/2013,SCEI,SCEA,Action,Rated E +10 For Everyone +10,8,13
Schizoid,7/9/2008,Torpex Games LLC,Microsoft Game Studios,Action,Rated E For Everyone,,
Tactics Ogre: Reborn,11/11/2022,Square Enix,Square Enix,Turn-Based Tactics,Rated T For Teen,5.7,126
Spelunker Party,10/19/2017,Tozai Games,Square Enix,2D Platformer,Rated E For Everyone,6.8,15
Pac-Man World 2,2/24/2002,Namco,Namco,3D Platformer,Rated E For Everyone,7.3,40
Anno 2070,11/17/2011,Related Designs,Ubisoft,Management,Rated T For Teen,7.1,550
Soul Hackers 2,8/24/2022,Atlus,Sega,JRPG,Rated M For Mature,7.1,120
Star Wars Pinball VR,4/29/2021,Zen Studios,Zen Studios,Pinball,,,
For Honor,2/14/2017,Ubisoft Montreal,Ubisoft,Action Adventure,Rated M For Mature,6,1163
Trauma Center: Under the Knife 2,7/2/2008,Vanguard,Atlus,Virtual Career,Rated T For Teen,6.1,7
LEGO Batman: DC Super Heroes,4/25/2013,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,Adventure,,8,5
Planet Coaster,11/17/2016,Frontier Developments,Frontier Developments,Tycoon,Rated E For Everyone,7.7,453
Castlevania: Lords of Shadow - Mirror of Fate,3/5/2013,Mercury Steam,Konami,Action Adventure,Rated M For Mature,7.3,265
Independence War 2: Edge of Chaos,8/22/2001,Particle Systems,Infogrames,Space Combat Sim,Rated E For Everyone,7.6,23
Real War,9/24/2001,Rival Interactive,Simon & Schuster,Real-Time Strategy,Rated T For Teen,5.9,7
No Man's Sky Beyond,8/14/2019,Hello Games,Hello Games,Open-World Action,Rated T For Teen,8.2,210
Spider-Man: Friend or Foe,10/2/2007,Next Level Games,Activision,Action Adventure,Rated E +10 For Everyone +10,7,31
ATV Offroad Fury,2/5/2001,Rainbow Studios,SCEA,Auto Racing Sim,Rated E For Everyone,7.9,24
Batman: The Telltale Series - Episode 4: Guardian of Gotham,11/22/2016,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,6.4,27
Nintendo Labo: Toycon 02 Robot Kit,4/20/2018,Nintendo,Nintendo,Party,Rated E +10 For Everyone +10,6.5,77
Mega Man Star Force: Pegasus,8/7/2007,Capcom,Capcom,Action RPG,Rated E For Everyone,6.4,21
"Warhammer 40,000: Inquisitor - Martyr",6/5/2018,NeocoreGames,Games Workshop,Real-Time Strategy,Rated M For Mature,6.5,124
Tiny Brains,12/3/2013,Spearhead Games,505 Games,Action Puzzle,Rated E +10 For Everyone +10,6.7,74
Super Contra,7/25/2007,Konami,Konami,2D Platformer,Rated E +10 For Everyone +10,5.8,10
SeaBlade,11/20/2002,Vision Scape,Simon & Schuster,Third Person Shooter,Rated T For Teen,,
Thor: God of Thunder,5/3/2011,Liquid Entertainment,Sega,3D Beat-'Em-Up,Rated T For Teen,5.6,28
The Sims 2,9/14/2004,Maxis,EA Games,Virtual Life,Rated T For Teen,8.5,904
Middle Manager of Justice,9/5/2012,Double Fine Productions,Double Fine Productions,RPG,,5.8,11
Okage: Shadow King,10/1/2001,Zener Works,SCEA,JRPG,Rated T For Teen,7.7,18
Pac-Man Party,11/16/2010,TOSE,Namco Bandai Games,Party,Rated E +10 For Everyone +10,6,23
Crime Life: Gang Wars,11/22/2005,Hothouse Creations,Konami,Action Adventure,Rated M For Mature,6.7,7
Spore Creature Creator,6/17/2008,Maxis,Electronic Arts,Strategy,Rated E For Everyone,7,36
Ace Combat Assault Horizon: Enhanced Edition,1/24/2013,QLOC,Namco Bandai Games,Aircraft Combat Sim,Rated T For Teen,5.9,191
Hextech Mayhem: A League of Legends Story,11/16/2021,Choice Provisions,Riot Games,2D Platformer,Rated E +10 For Everyone +10,7,20
Final Fantasy I & II: Dawn of Souls,11/29/2004,TOSE,Nintendo,Compilation,Rated E For Everyone,8,74
Batman: The Enemy Within - Episode 2: The Pact,9/26/2017,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,7.3,26
The Little Acre,12/13/2016,Curve Digital,Curve Digital,Point-and-Click,Rated E +10 For Everyone +10,6.5,27
Tom Clancy's Ghost Recon: Shadow Wars,3/22/2011,Ubisoft,Ubisoft,Turn-Based Strategy,Rated T For Teen,7.9,85
Metro: Last Light,5/13/2013,4A Games,Deep Silver,FPS,Rated M For Mature,8.5,3445
Super Monkey Ball Jr.,11/19/2002,Realism Ltd,THQ,Puzzle,Rated E For Everyone,7,15
The Grim Adventures of Billy & Mandy,11/16/2006,High Voltage Software,Midway,3D Fighting,Rated E +10 For Everyone +10,7.2,5
Robot Alchemic Drive,11/4/2002,Sandlot,Enix Corporation,Vehicle Combat Sim,Rated T For Teen,7.7,9
Blast-A-Way,8/30/2012,Illusion Labs,Illusion Labs,Adventure,,,
Unbox: Newbie's Adventure,7/26/2017,Merge Games,Merge Games,3D Platformer,Rated E For Everyone,,
dream:scape,6/9/2011,Speedbump,Speedbump,Puzzle,,,
LEGO City Undercover: The Chase Begins,4/21/2013,Traveller's Tales,Nintendo,Action Adventure,Rated E +10 For Everyone +10,6.6,83
SD Gundam Battle Alliance,8/25/2022,Artdink,Bandai Namco Games,Action RPG,Rated T For Teen,7.1,15
Tryst,9/14/2012,BlueGiant Interactive,BlueGiant Interactive,Command RTS,,5.8,19
The Jackbox Party Pack 10,10/19/2023,"Jackbox Games, Inc.","Jackbox Games, Inc.",Party,,7.3,
The Dukes of Hazzard: Return of the General Lee,9/28/2004,Ratbag,Ubisoft,Auto Racing,Rated E For Everyone,,
Disgaea 6 Complete,6/28/2022,Nippon Ichi Software,NIS America,Turn-Based Tactics,Rated T For Teen,4.8,8
Motorsport Manager,11/9/2016,Playsport Games Ltd,Sega,Virtual Career,Rated E +10 For Everyone +10,8.1,106
Syberia: The World Before,3/18/2022,Koalabs,Microids,Point-and-Click,Rated T For Teen,8.5,128
Tokyo Dark,9/7/2017,Cherrymochi,Square Enix,Point-and-Click,Rated M For Mature,7.5,35
Gradius III and IV,11/13/2000,KCET,Konami,Horizontal Shoot-'Em-Up,Rated E For Everyone,7.4,5
Gnosia,3/4/2021,Petit Depotto,Playism,Visual Novel,Rated T For Teen,8.4,51
Double Dragon,3/4/2011,Brizo Interactive Corporation,Bow Mobile,2D Beat-'Em-Up,,,
Resident Evil 6,10/2/2012,Capcom,Capcom,Survival,Rated M For Mature,5.3,1649
Evergate,8/18/2020,Stone Lantern Games,PQube,2D Platformer,Rated T For Teen,7.5,17
Dungeon Hearts,3/28/2013,Cube Roots,Devolver Digital,Matching Puzzle,,6.4,23
Tom Clancy's Rainbow Six: Rogue Spear (2002),3/18/2002,Ubisoft Milan,Ubisoft,Linear Action Adventure,Rated T For Teen,,
Fimbul,2/28/2019,Zaxis,Wild River Games,Action Adventure,Rated T For Teen,1.5,6
Divinity II: Ego Draconis,1/5/2010,Larian Studios Games,DTP Entertainment,Action RPG,Rated M For Mature,7.7,108
Back to the Future: The Game - Episode I: It's About Time,12/22/2010,Telltale Games,Telltale Games,Third-Person Adventure,,7.1,117
Resident Evil 4,3/24/2023,Capcom,Capcom,Survival,Rated M For Mature,8,5930
Rugby Challenge,10/18/2011,Sidhe Interactive,Mad Catz,Rugby,Rated E For Everyone,6.4,9
Gary Grigsby's World at War,3/25/2005,2By3 Games,Matrix Games,Turn-Based Strategy,Rated T For Teen,6.5,
Yu-Gi-Oh! Reshef of Destruction,6/29/2004,Konami,Konami,Card Battle,Rated E For Everyone,6,12
Sable,9/23/2021,Shed-Works,Raw Fury,Open-World Action,,6.9,118
Fuga: Melodies of Steel 2,5/11/2023,CyberConnect2,CyberConnect2,JRPG,Rated T For Teen,8.3,
Squishies,11/20/2018,Brainseed Factory,Brainseed Factory,3D Platformer,,6.7,6
Lords of Football,4/5/2013,Geniaware,Geniaware,Soccer Sim,,6.2,58
Not Tonight 2,2/11/2022,Panic Barn Ltd,No More Robots,Virtual Career,,3.8,6
Pocket God: Ooga Jump,10/31/2013,,,Action,,,
Imperator: Rome,4/25/2019,Paradox Development Studio,Paradox Interactive,Real-Time Strategy,,5,220
Nioh: Defiant Honor,7/25/2017,Team Ninja,Sony Interactive Entertainment,Action RPG,Rated M For Mature,7.6,57
Call of Duty: Black Ops III - Descent,7/12/2016,Treyarch,Activision,FPS,Rated M For Mature,3,5
Neversong,5/20/2020,Serenity Forge,Serenity Forge,Action Adventure,,7.4,23
Miitomo,3/31/2016,Nintendo,Nintendo,Virtual Life,,7,66
Digimon World: Dawn,9/18/2007,Bec,Namco Bandai Games,Trainer RPG,Rated E For Everyone,7.4,40
Football Manager 2016,11/13/2015,Sports Interactive,Sports Interactive,Soccer Management,Rated E For Everyone,7,143
D4: Dark Dreams Don't Die,9/19/2014,Access Games,Microsoft Game Studios,Point-and-Click,Rated M For Mature,7.2,310
To End All Wars,8/29/2014,AGEOD,Slitherine,Turn-Based Strategy,,7.6,15
Miami Vice: The Game (2006),7/18/2006,Rebellion,Sierra Entertainment,Third Person Shooter,Rated M For Mature,5.7,10
Gothic II,10/28/2003,Piranha Bytes,Atari SA,Western RPG,Rated M For Mature,9,1283
Syndrome,10/6/2016,Camel 101,Camel 101,Survival,,5.7,18
LEGO Batman: The Videogame,9/23/2008,Traveller's Tales,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,7,583
Wolfenstein: Cyberpilot,7/26/2019,MachineGames,Bethesda Softworks,FPS,Rated M For Mature,3.8,47
Aedis Eclipse: Generation of Chaos,4/24/2007,Idea Factory,NIS America,Turn-Based Strategy,Rated E +10 For Everyone +10,5.7,9
Starfront: Collision,2/17/2011,Gameloft,Gameloft,Action,,6.2,6
DreamWorks Kung Fu Panda,6/3/2008,"Luxoflux, Inc.",Activision,3D Platformer,Rated E +10 For Everyone +10,7.2,41
Batman: The Enemy Within - Episode 5: Same Stitch,3/26/2018,Telltale Games,Telltale Games,Point-and-Click,,7.5,100
NCAA Football 13,7/10/2012,EA Tiburon,EA Sports,Football Sim,Rated E For Everyone,5.8,72
Super Trucks Racing,10/29/2003,Jester Interactive,XS Games,Auto Racing Sim,Rated E For Everyone,,
Dragon Ball Z: Ultimate Tenkaichi,10/25/2011,Spike,Namco Bandai Games,3D Fighting,Rated T For Teen,5.3,116
Kard Combat,7/13/2011,Hothead Games Inc.,Hothead Games Inc.,Board,,,
Atlas Fallen,8/10/2023,Deck 13,Focus Entertainment,Action RPG,Rated T For Teen,6.1,75
NBA Live 07,9/25/2006,EA Sports,EA Sports,Basketball Sim,Rated E For Everyone,7.3,6
Triple Play Baseball,3/12/2001,EA Sports,EA Sports,Baseball Sim,Rated E For Everyone,,
Sonic Rush Adventure,9/18/2007,Dimps Corporation,Sega,2D Platformer,Rated E For Everyone,8,96
Pop-Up Pilgrims,2/13/2018,Dakko Dakko,Dakko Dakko,Real-Time Strategy,Rated E For Everyone,,
Shin-chan: Me and the Professor on Summer Vacation - The Endless Seven-Day Journey,8/11/2022,Millennium Kitchen,Neos,Adventure,Rated E For Everyone,7.1,11
Field of Glory II: Medieval,2/4/2021,Slitherine,Slitherine,Turn-Based Tactics,,6.1,7
A Good Snowman Is Hard To Build,12/9/2015,Draknek,Draknek,Action Puzzle,,6.6,14
Mega Man Legacy Collection,8/25/2015,Digital Eclipse,Capcom,Compilation,Rated E For Everyone,7.1,47
Lost Planet 3,8/27/2013,Spark Unlimited,Capcom,Third Person Shooter,Rated T For Teen,5.8,151
Stacking: The Lost Hobo King,4/6/2011,Double Fine Productions,THQ,Action Puzzle,Rated E +10 For Everyone +10,8.7,6
Dynasty Warriors DS: Fighter's Battle,7/25/2007,Studio Fake,Koei,3D Beat-'Em-Up,Rated E +10 For Everyone +10,6,5
Sonic Rivals,11/16/2006,Backbone Entertainment,Sega,Arcade Racing,Rated E For Everyone,7.6,63
Star Fox Guard,4/22/2016,PlatinumGames,Nintendo,Defense,Rated E +10 For Everyone +10,7.3,102
Resident Evil: The Mercenaries 3D,6/28/2011,Capcom,Capcom,Tactical Third Person Shooter,Rated M For Mature,6.6,134
Slime Rancher,8/1/2017,Monomi Park,Monomi Park,Open-World Action,,8,261
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,,Straandlooper,Telltale Games,Action Adventure,,,
Frontlines: Fuel of War,2/25/2008,Kaos Studios,THQ,FPS,Rated T For Teen,7.2,32
Call of Duty 4: Modern Warfare,11/5/2007,Infinity Ward,Activision,FPS,Rated M For Mature,8.5,1452
Tom Clancy's Ghost Recon (Wii),11/16/2010,Next Level Games,Ubisoft,Tactical FPS,Rated T For Teen,6.6,11
Endless Ocean: Blue World,2/22/2010,Arika,Nintendo,Third-Person Adventure,Rated E +10 For Everyone +10,8.4,27
Regalia: Of Men and Monarchs - Royal Edition,4/10/2018,Pixelated Milk,Crunching Koalas,Turn-Based Tactics,Rated T For Teen,5.8,9
Speedball 2 - Tournament,11/27/2007,Kylotonn,Frogster Interactive,Future Sport,,8.1,9
Gangs of London,10/3/2006,SCEE London Studio,SCEA,Open-World Action,Rated M For Mature,6.3,9
Sword of Mana,12/1/2003,Brownie Brown,Nintendo,Action RPG,Rated E For Everyone,8.7,20
Looney Tunes: Back in Action (2003),11/11/2003,Warthog,Electronic Arts,Action,Rated E For Everyone,,
MindSeize,9/29/2020,Kamina Dimension,First Press Games,2D Platformer,Rated E +10 For Everyone +10,8,14
Rayman Raving Rabbids (2007),3/6/2007,Ubisoft Bulgaria,Ubisoft,2D Platformer,Rated E For Everyone,6.6,7
F1 2021,7/15/2021,Codemasters,Electronic Arts,Auto Racing Sim,Rated E For Everyone,6.2,88
Ace Combat: Assault Horizon Legacy+,2/10/2015,Project Aces,Bandai Namco Games,Aircraft Combat Sim,Rated T For Teen,5.9,17
Final Fantasy X,12/17/2001,SquareSoft,Square EA,JRPG,Rated T For Teen,9,1836
Grand Kingdom,6/21/2016,Spike Chunsoft,NIS America,Turn-Based Tactics,Rated T For Teen,7.3,103
Burger Cat,4/19/2012,Ravenous Games,Ravenous Games,Edutainment,,,
Fallout 3: The Pitt,3/23/2009,Bethesda Game Studios,Bethesda Softworks,Western RPG,Rated M For Mature,7.4,65
